locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
28,Briarwood/Jamaica Hills,Queens,11884,0.159140592626006,0.81910235409927,0.00795030796319859,0.0138067453115262
29,Brighton Beach,Brooklyn,8423,0.595627128400819,0.382401271418089,0.0121635972236866,0.00980800295740531
30,Broad Channel,Queens,1043,0.699466298516797,0.269051277618724,0.0229031120934121,0.00857931177106724
31,Bronx Park,Bronx,1674,0.0870527523364023,0.893134772621455,0.00483008298564619,0.0149823920564961
32,Bronxdale,Bronx,8205,0.103542842895123,0.87925639584032,0.00518298966504265,0.0120177715995135
33,Brooklyn Heights,Brooklyn,11874,0.0653218588421299,0.902386321277819,0.0167290220600808,0.0155627978199704
34,Brooklyn Navy Yard,Brooklyn,470,0.0741418637240087,0.90319582068882,0.00419340814908097,0.01846890743809
35,Brownsville,Brooklyn,17785,0.0218014219251145,0.967439048926292,0.00295627306728664,0.00780325608130643
36,Bushwick North,Brooklyn,14765,0.0531196231244021,0.915424898774344,0.00688616582829885,0.0245693122729546
37,Bushwick South,Brooklyn,23158,0.0447778987184178,0.925738658406097,0.00656041367454347,0.0229230292009421
38,Cambria Heights,Queens,8635,0.0234775539057277,0.963245955241076,0.00323933590524055,0.0100371549479556
39,Canarsie,Brooklyn,29826,0.0415881657494497,0.946678892941976,0.00360277491075293,0.00813016639782109
40,Carroll Gardens,Brooklyn,6707,0.0949629352247322,0.881608745425807,0.0091583518620811,0.0142699674873796
41,Central Harlem,Manhattan,18892,0.0288338141625296,0.946486826351008,0.00610105476750441,0.0185783047189581
42,Central Harlem North,Manhattan,31149,0.0236128860163214,0.956034054997332,0.00496634377032957,0.0153867152160167
43,Central Park,Manhattan,14,0.0523268973144168,0.920434900416643,0.00714965245489458,0.0200885498140459
44,Charleston/Tottenville,Staten Island,8826,0.770488843008189,0.206503662259311,0.0152812465899998,0.00772624814249973
45,Chinatown,Manhattan,5427,0.185393587578544,0.791885088010916,0.008236271621727,0.0144850527888129
46,City Island,Bronx,1996,0.438558749954625,0.525859622036909,0.0180434650719795,0.0175381629364864
47,Claremont/Bathgate,Bronx,8723,0.0324142678522301,0.956790695816161,0.00291653578087002,0.00787850055073914
48,Clinton East,Manhattan,15364,0.103158548883549,0.868177797793866,0.0138459010047122,0.0148177523178729
49,Clinton Hill,Brooklyn,16487,0.0238018802980974,0.948505085653618,0.00539041972194466,0.0223026143263397
50,Clinton West,Manhattan,5102,0.102086661176089,0.868458687618543,0.0141838667642804,0.0152707844410874
51,Co-Op City,Bronx,19332,0.0591145760805401,0.925040596225693,0.00554145119316341,0.0103033765006031
52,Cobble Hill,Brooklyn,5017,0.0579403619148848,0.918534877564624,0.0108814067792925,0.0126433537411989
53,College Point,Queens,5345,0.34394994501391,0.626821134115798,0.0131384967138558,0.016090424156436
54,Columbia Street,Brooklyn,1891,0.0655756928180756,0.907202528821361,0.0110509529193076,0.0161708254412562
55,Coney Island,Brooklyn,14738,0.436491518020498,0.545841741570372,0.00709288019265499,0.0105738602164745
56,Corona,Queens,22769,0.117531274708295,0.865151330647083,0.00723960938893561,0.010077785255687
58,Country Club,Bronx,2981,0.574831461012066,0.399204590767468,0.0117237502191321,0.0142401980013329
59,Crotona Park,Bronx,639,0.0312244029218633,0.952396161755791,0.00580080460141007,0.0105786307209353
60,Crotona Park East,Bronx,6494,0.0518864088007566,0.935998581729024,0.00273598930813658,0.00937902016208276
61,Crown Heights North,Brooklyn,39638,0.0336949734498447,0.943265647094338,0.00482280264561411,0.0182165768102033
62,Crown Heights South,Brooklyn,13996,0.140933914117442,0.83776486123279,0.00764773435435446,0.0136534902954136
63,Cypress Hills,Brooklyn,11797,0.0734697921732603,0.908203156270273,0.00613480235701278,0.0121922491994534
64,Douglaston,Queens,10320,0.390440492561265,0.582279553657018,0.014266697803805,0.0130132559779117
65,Downtown Brooklyn/MetroTech,Brooklyn,4433,0.0600248350461894,0.910988335142634,0.0160098398076943,0.0129769900034824
66,DUMBO/Vinegar Hill,Brooklyn,3938,0.0346062358719068,0.940671725077169,0.0109563412942279,0.0137656977566964
67,Dyker Heights,Brooklyn,10587,0.488662284094821,0.481509880418905,0.0156793302312041,0.0141485052550696
68,East Chelsea,Manhattan,12188,0.0895110650503341,0.880905940549934,0.0113325461012428,0.0182504482984891
69,East Concourse/Concourse Village,Bronx,17694,0.0418248125904428,0.944135833483486,0.00408568437679546,0.00995366954927586
70,East Elmhurst,Queens,5839,0.0776102143780826,0.903147473363691,0.00707147909544246,0.0121708331627839
71,East Flatbush/Farragut,Brooklyn,18490,0.0241189579331085,0.96413519793331,0.00290696054755911,0.00883888358602172
72,East Flatbush/Remsen Village,Brooklyn,17258,0.0211244591687993,0.969700660322969,0.00196799831652465,0.00720688219170698
73,East Flushing,Queens,5946,0.330486748738902,0.642165529668445,0.0132756059092565,0.0140721156833956
74,East Harlem North,Manhattan,21217,0.0425925386234214,0.936196336130071,0.00610926661437979,0.0151018586321275
75,East Harlem South,Manhattan,20500,0.0646761088629545,0.913019236326632,0.00933048090059629,0.0129741739098168
76,East New York,Brooklyn,29639,0.0301286579859162,0.959081977405857,0.0033112337657178,0.00747813084250931
