car_type,pickup_hour,trips
uber,2016-12-07T20:00:00Z,314
uber,2016-12-07T21:00:00Z,249
uber,2016-12-07T22:00:00Z,256
uber,2016-12-07T23:00:00Z,203
uber,2016-12-08T00:00:00Z,220
uber,2016-12-08T01:00:00Z,345
uber,2016-12-08T02:00:00Z,410
uber,2016-12-08T03:00:00Z,303
uber,2016-12-08T04:00:00Z,244
uber,2016-12-08T05:00:00Z,145
uber,2016-12-08T06:00:00Z,20
uber,2016-12-08T07:00:00Z,10
uber,2016-12-08T08:00:00Z,5
uber,2016-12-08T09:00:00Z,27
uber,2016-12-08T10:00:00Z,280
uber,2016-12-08T11:00:00Z,179
uber,2016-12-08T12:00:00Z,135
uber,2016-12-08T13:00:00Z,114
uber,2016-12-08T14:00:00Z,127
uber,2016-12-08T15:00:00Z,103
uber,2016-12-08T16:00:00Z,103
uber,2016-12-08T17:00:00Z,175
uber,2016-12-08T18:00:00Z,231
uber,2016-12-08T19:00:00Z,283
uber,2016-12-08T20:00:00Z,467
uber,2016-12-08T21:00:00Z,319
uber,2016-12-08T22:00:00Z,259
uber,2016-12-08T23:00:00Z,226
uber,2016-12-09T00:00:00Z,267
uber,2016-12-09T01:00:00Z,412
uber,2016-12-09T02:00:00Z,430
uber,2016-12-09T03:00:00Z,406
uber,2016-12-09T04:00:00Z,372
uber,2016-12-09T05:00:00Z,300
uber,2016-12-09T06:00:00Z,134
uber,2016-12-09T07:00:00Z,14
uber,2016-12-09T08:00:00Z,4
uber,2016-12-09T09:00:00Z,10
uber,2016-12-09T10:00:00Z,174
uber,2016-12-09T11:00:00Z,296
uber,2016-12-09T12:00:00Z,174
uber,2016-12-09T13:00:00Z,228
uber,2016-12-09T14:00:00Z,117
uber,2016-12-09T15:00:00Z,143
uber,2016-12-09T16:00:00Z,131
uber,2016-12-09T17:00:00Z,189
uber,2016-12-09T18:00:00Z,269
uber,2016-12-09T19:00:00Z,370
uber,2016-12-09T20:00:00Z,358
uber,2016-12-09T21:00:00Z,307
uber,2016-12-09T22:00:00Z,273
uber,2016-12-09T23:00:00Z,234
uber,2016-12-10T00:00:00Z,252
uber,2016-12-10T01:00:00Z,381
uber,2016-12-10T02:00:00Z,376
uber,2016-12-10T03:00:00Z,379
uber,2016-12-10T04:00:00Z,333
uber,2016-12-10T05:00:00Z,214
uber,2016-12-10T06:00:00Z,118
uber,2016-12-10T07:00:00Z,11
uber,2016-12-10T08:00:00Z,8
uber,2016-12-10T09:00:00Z,14
uber,2016-12-10T10:00:00Z,166
uber,2016-12-10T11:00:00Z,240
uber,2016-12-10T12:00:00Z,282
uber,2016-12-10T13:00:00Z,126
uber,2016-12-10T14:00:00Z,101
uber,2016-12-10T15:00:00Z,131
uber,2016-12-10T16:00:00Z,122
uber,2016-12-10T17:00:00Z,189
uber,2016-12-10T18:00:00Z,192
uber,2016-12-10T19:00:00Z,260
uber,2016-12-10T20:00:00Z,256
uber,2016-12-10T21:00:00Z,307
uber,2016-12-10T22:00:00Z,263
uber,2016-12-10T23:00:00Z,166
uber,2016-12-11T00:00:00Z,170
uber,2016-12-11T01:00:00Z,282
uber,2016-12-11T02:00:00Z,251
uber,2016-12-11T03:00:00Z,289
uber,2016-12-11T04:00:00Z,183
uber,2016-12-11T05:00:00Z,82
uber,2016-12-11T06:00:00Z,40
uber,2016-12-11T07:00:00Z,5
uber,2016-12-11T08:00:00Z,8
uber,2016-12-11T09:00:00Z,13
uber,2016-12-11T10:00:00Z,184
uber,2016-12-11T11:00:00Z,165
uber,2016-12-11T12:00:00Z,148
uber,2016-12-11T13:00:00Z,123
uber,2016-12-11T14:00:00Z,123
uber,2016-12-11T15:00:00Z,155
uber,2016-12-11T16:00:00Z,143
uber,2016-12-11T17:00:00Z,187
uber,2016-12-11T18:00:00Z,275
uber,2016-12-11T19:00:00Z,376
uber,2016-12-11T20:00:00Z,471
uber,2016-12-11T21:00:00Z,452
uber,2016-12-11T22:00:00Z,367
uber,2016-12-11T23:00:00Z,337
uber,2016-12-12T00:00:00Z,340
uber,2016-12-12T01:00:00Z,484
uber,2016-12-12T02:00:00Z,500
uber,2016-12-12T03:00:00Z,470
uber,2016-12-12T04:00:00Z,485
uber,2016-12-12T05:00:00Z,454
uber,2016-12-12T06:00:00Z,142
uber,2016-12-12T07:00:00Z,30
uber,2016-12-12T08:00:00Z,33
uber,2016-12-12T09:00:00Z,33
uber,2016-12-12T10:00:00Z,233
uber,2016-12-12T11:00:00Z,368
uber,2016-12-12T12:00:00Z,232
uber,2016-12-12T13:00:00Z,238
uber,2016-12-12T14:00:00Z,149
uber,2016-12-12T15:00:00Z,167
uber,2016-12-12T16:00:00Z,125
uber,2016-12-12T17:00:00Z,143
uber,2016-12-12T18:00:00Z,214
uber,2016-12-12T19:00:00Z,243
uber,2016-12-12T20:00:00Z,373
uber,2016-12-12T21:00:00Z,280
uber,2016-12-12T22:00:00Z,318
uber,2016-12-12T23:00:00Z,193
uber,2016-12-13T00:00:00Z,258
uber,2016-12-13T01:00:00Z,370
uber,2016-12-13T02:00:00Z,441
uber,2016-12-13T03:00:00Z,378
uber,2016-12-13T04:00:00Z,331
uber,2016-12-13T05:00:00Z,215
uber,2016-12-13T06:00:00Z,79
uber,2016-12-13T07:00:00Z,37
uber,2016-12-13T08:00:00Z,5
uber,2016-12-13T09:00:00Z,7
uber,2016-12-13T10:00:00Z,182
uber,2016-12-13T11:00:00Z,226
uber,2016-12-13T12:00:00Z,121
uber,2016-12-13T13:00:00Z,111
uber,2016-12-13T14:00:00Z,148
uber,2016-12-13T15:00:00Z,112
uber,2016-12-13T16:00:00Z,88
uber,2016-12-13T17:00:00Z,132
uber,2016-12-13T18:00:00Z,169
uber,2016-12-13T19:00:00Z,224
uber,2016-12-13T20:00:00Z,238
uber,2016-12-13T21:00:00Z,249
uber,2016-12-13T22:00:00Z,201
uber,2016-12-13T23:00:00Z,171
uber,2016-12-14T00:00:00Z,179
uber,2016-12-14T01:00:00Z,334
uber,2016-12-14T02:00:00Z,293
uber,2016-12-14T03:00:00Z,282
uber,2016-12-14T04:00:00Z,279
uber,2016-12-14T05:00:00Z,168
uber,2016-12-14T06:00:00Z,25
uber,2016-12-14T07:00:00Z,5
uber,2016-12-14T08:00:00Z,3
uber,2016-12-14T09:00:00Z,28
uber,2016-12-14T10:00:00Z,140
uber,2016-12-14T11:00:00Z,198
