locationid,zone,borough,lyft_share_change,pre_strike_lyft_share,post_strike_lyft_share,rest_of_2017_lyft_share,lyft_share_2016,lyft_share_change_pct,pre_strike_lyft_share_pct,post_strike_lyft_share_pct,rest_of_2017_lyft_share_pct,lyft_share_2016_pct
24,Bloomingdale,Manhattan,0.05880229571084425627,0.11911004569630683946,0.17791234140715109573,0.20485615908072205697,0.12811126344503964608,6%,12%,18%,20%,13%
227,Sunset Park East,Brooklyn,0.05814933669010195432,0.19216277317256970610,0.25031210986267166042,0.22773210363775591777,0.21160653595925177214,6%,19%,25%,23%,21%
211,SoHo,Manhattan,0.05801180838840499712,0.08194920525681917442,0.13996101364522417154,0.14320559839252458588,0.07980819005996637485,6%,8%,14%,14%,8%
79,East Village,Manhattan,0.05787850823149671100,0.11541682983074446330,0.17329533806224117430,0.18939266051486433332,0.12940833120527827143,6%,12%,17%,19%,13%
75,East Harlem South,Manhattan,0.05764393544732796725,0.16633819471817106819,0.22398213016549903544,0.23344040635517557690,0.17916519035494653692,6%,17%,22%,23%,18%
249,West Village,Manhattan,0.05717149591456154745,0.08514062380259023680,0.14231211971715178425,0.15009313523865413686,0.09059265132142532396,6%,9%,14%,15%,9%
166,Morningside Heights,Manhattan,0.05581869955234936001,0.12204691309587198386,0.17786561264822134387,0.19724888389230779228,0.12749479907471616362,6%,12%,18%,20%,13%
144,Little Italy/NoLiTa,Manhattan,0.05550381923086850933,0.09939677244161688261,0.15490059167248539194,0.16213039567124497435,0.09802984741574934361,6%,10%,15%,16%,10%
124,Howard Beach,Queens,0.05517715560145962336,0.23072978977952486754,0.28590694538098449090,0.23595141700404858300,0.20966473122307548230,6%,23%,29%,24%,21%
46,City Island,Bronx,0.05493638676844783715,0.15839694656488549618,0.21333333333333333333,0.21856497103202393837,0.28032758914860945231,5%,16%,21%,22%,28%
113,Greenwich Village North,Manhattan,0.05434289165390435603,0.09499469010024623931,0.14933758175415059534,0.16610058438108730299,0.09590233744576963689,5%,9%,15%,17%,10%
114,Greenwich Village South,Manhattan,0.05391043727015057730,0.09711576642160106850,0.15102620369175164580,0.16676967078168106149,0.10531196907586077903,5%,10%,15%,17%,11%
67,Dyker Heights,Brooklyn,0.05335936989615107276,0.14530213063220398184,0.19866150052835505460,0.16253902077305207264,0.15244465832531280077,5%,15%,20%,16%,15%
90,Flatiron,Manhattan,0.05299149195101175591,0.09494094835184205888,0.14793244030285381479,0.14956708415151545983,0.09785725740006524997,5%,9%,15%,15%,10%
91,Flatlands,Brooklyn,0.05270397734303822257,0.16260942188128305855,0.21531339922432128112,0.15767607187004713715,0.21109611799667724851,5%,16%,22%,16%,21%
244,Washington Heights South,Manhattan,0.05223043326742156546,0.18387453503568915251,0.23610496830311071797,0.19968489774622941366,0.20715641226135774593,5%,18%,24%,20%,21%
