end_taxi_zone_id,time_bucket,taxi_trips,citi_trips,start_taxi_zone_id,taxi_win_rate,taxi_mean,citi_mean,taxi_median,citi_median,taxi_avg_winning_margin,citi_avg_winning_margin,start_zone,start_borough,end_zone,end_borough
88,midday,48,5,4,1,544.9375,1871.4,524.5,1254,1331.6047,NA,Alphabet City,Manhattan,Financial District South,Manhattan
88,morning,71,33,4,0.9909,578.056338028169,1321.5454545454545,550,1289,752.1503683520033,120.14285714285714,Alphabet City,Manhattan,Financial District South,Manhattan
88,other,45,16,4,0.9378,567.6888888888889,1129.75,482,1236.5,625.543932608232,485.4823151125402,Alphabet City,Manhattan,Financial District South,Manhattan
90,afternoon,37,14,4,0.7138,843.8918918918919,1154.7142857142858,812,1045,528.8621462594564,239.28022361984625,Alphabet City,Manhattan,Flatiron,Manhattan
90,evening,47,17,4,0.7351,845.468085106383,1058,854,1053,343.6431777989389,151.85088712721782,Alphabet City,Manhattan,Flatiron,Manhattan
90,midday,70,14,4,0.6446,962.8,1045.5714285714287,889.5,954,280.3915606577723,279.0998874507597,Alphabet City,Manhattan,Flatiron,Manhattan
90,morning,56,36,4,0.6354,866.9285714285714,963.8888888888889,871,934.5,286.4564054139125,234.37164015359298,Alphabet City,Manhattan,Flatiron,Manhattan
90,other,131,18,4,0.887,645.8167938931298,914,636,952,317.1075535512965,132.92566371681417,Alphabet City,Manhattan,Flatiron,Manhattan
97,other,25,5,4,0.8945,1137.68,1629.2,1098,1630,577.2821688093907,218.3137440758294,Alphabet City,Manhattan,Fort Greene,Brooklyn
100,morning,21,57,4,0.3869,1476.2380952380952,1324.1929824561403,1405,1282,265.5414835874903,416.25199804273365,Alphabet City,Manhattan,Garment District,Manhattan
100,other,48,23,4,0.6702,1011.375,1092.8695652173913,873,995,304.23933154282304,371.60309278350513,Alphabet City,Manhattan,Garment District,Manhattan
107,afternoon,96,52,4,0.7344,517.6458333333334,724.5961538461538,458,633.5,354.047385620915,210.38403614457832,Alphabet City,Manhattan,Gramercy,Manhattan
107,evening,126,44,4,0.7118,514.1507936507936,649.9318181818181,467.5,573.5,270.45195279572914,188.4066620402498,Alphabet City,Manhattan,Gramercy,Manhattan
107,midday,185,37,4,0.8137,497.31891891891894,748.6216216216217,475,716,350.14882634877716,178.27321524422973,Alphabet City,Manhattan,Gramercy,Manhattan
107,morning,177,104,4,0.6987,530.8418079096045,669.9134615384615,510,623,272.38972377272074,146.27646863591104,Alphabet City,Manhattan,Gramercy,Manhattan
107,other,267,79,4,0.8409,400.19101123595505,622.3164556962025,383,648,286.2077535973362,147.83595223130106,Alphabet City,Manhattan,Gramercy,Manhattan
112,afternoon,5,16,4,0.3076,1446.6,1278.75,1344,1204.5,192.98374512353706,331.1476025418833,Alphabet City,Manhattan,Greenpoint,Brooklyn
112,midday,6,14,4,0.832,1504.8333333333333,1849.7857142857142,1468,1884,454.0693509615385,215.57380952380953,Alphabet City,Manhattan,Greenpoint,Brooklyn
113,afternoon,62,120,4,0.7321,567.2096774193549,769.6916666666667,558.5,698.5,322.27127441606336,129.55281821575215,Alphabet City,Manhattan,Greenwich Village North,Manhattan
113,evening,73,75,4,0.6299,604.5068493150685,717.84,565,662,301.0503254484839,206.03026209132668,Alphabet City,Manhattan,Greenwich Village North,Manhattan
113,midday,110,164,4,0.5818,595.9818181818182,688.6585365853658,567,617,295.28497765555176,190.15566714490674,Alphabet City,Manhattan,Greenwich Village North,Manhattan
113,morning,94,213,4,0.6168,538.3510638297872,604.0845070422536,501,563,198.3842412451362,151.35203549060543,Alphabet City,Manhattan,Greenwich Village North,Manhattan
113,other,108,210,4,0.696,474.3333333333333,594.0619047619048,482,548,226.16882183908046,108.83453947368422,Alphabet City,Manhattan,Greenwich Village North,Manhattan
114,afternoon,92,99,4,0.5701,506.92391304347825,588.8484848484849,490,515,281.76214699175586,181.27122586648056,Alphabet City,Manhattan,Greenwich Village South,Manhattan
114,evening,101,52,4,0.4572,573.5643564356436,577.5576923076923,552,524,270.7694663167104,218.9198599852616,Alphabet City,Manhattan,Greenwich Village South,Manhattan
114,midday,121,61,4,0.6468,488.4793388429752,678.1147540983607,475,544,384.9094001236858,160.7834088335221,Alphabet City,Manhattan,Greenwich Village South,Manhattan
114,morning,132,76,4,0.6552,457.34090909090907,540.5657894736842,450.5,505,190.59508547008548,126.4550464037123,Alphabet City,Manhattan,Greenwich Village South,Manhattan
114,other,161,89,4,0.5635,436.90683229813664,488,430,465,202.56894409937888,154.1860252004582,Alphabet City,Manhattan,Greenwich Village South,Manhattan
125,afternoon,9,14,4,0.5173,947.4444444444445,894.2857142857143,958,867.5,250.2565242605838,373.7719080174021,Alphabet City,Manhattan,Hudson Sq,Manhattan
125,evening,7,23,4,0.7846,782.2857142857143,1056.1304347826087,830,954,384.2013764975784,130.59377901578458,Alphabet City,Manhattan,Hudson Sq,Manhattan
125,midday,23,11,4,0.5432,974.9130434782609,985.4545454545455,917,957,291.70452871870395,309.16440455341507,Alphabet City,Manhattan,Hudson Sq,Manhattan
125,morning,45,76,4,0.4454,787.2222222222222,764.2894736842105,787,714,222.3639425235743,221.4289578074288,Alphabet City,Manhattan,Hudson Sq,Manhattan
125,other,44,26,4,0.8456,591.6818181818181,840.8461538461538,556,769,331.0468306527909,197.2571243523316,Alphabet City,Manhattan,Hudson Sq,Manhattan
137,afternoon,39,30,4,0.7141,612.974358974359,753.5666666666667,567,715,258.718106707744,159.50612102133613,Alphabet City,Manhattan,Kips Bay,Manhattan
137,evening,64,19,4,0.8184,545.34375,746.578947368421,534,767,273.62915444770283,124.21310572687224,Alphabet City,Manhattan,Kips Bay,Manhattan
137,midday,82,19,4,0.594,606.0975609756098,649.1052631578947,581.5,651,193.47626262626264,184.0448275862069,Alphabet City,Manhattan,Kips Bay,Manhattan
