base_number,base_name,dba,dba_category
B00859,PROMENADE CAR LEASE INC,,other
B00860,SEAMAN RADIO DISPATCHERS INC,,other
B00881,CROSSBAY CAR SERVICE INC.,,other
B00882,U N C CAR & LIMO SERVICE,,other
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,other
B00888,ACE C/L SVCE INC,,other
B00889,MEXICANA CAR SERVICE INC.,,other
B00900,BIG Q CAR SVC. INC.,,other
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,other
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,other
B00919,HARLEM CARS INC.,,other
B00932,NATASHAS GRP CAR CORP,,other
B00937,RIVERSIDE RADIO DISPATCHER,,other
B00941,PERSONAL TOUCH C/S,,other
B00948,510 CAR SERVICE CORP,,other
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,,other
B00965,"NELPEL CAR SVC, INC.",NEW PORT CAR SERVICE,other
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,other
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,other
B00983,"1431 CAR SERVICE, INC.",THREE GUY'S CAR SVCE,other
B00984,P J CAR SVCE,,other
B00987,AHSAN INC.,MARLBORO CAR SERVICE,other
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,other
B00991,P F MANAGEMENT INC,,other
B01009,UNITED LIMO C/M SVC CORP,,other
B01013,AMERICANA TRANSPORTATION LLC,,other
B01016,810 CAR SVCE CORP,,other
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,other
B01021,PAMELENE TRANSPORTATION CORP.,SEA BREEZE C/S,other
B01029,ZION CAR SERVICE INC.,,other
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,other
B01045,CAPRICE CAR SERVICE NO.2 INC.,,other
B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,other
B01051,B Q N C/S CORP,,other
B01056,UNITY CAR & LIMO INC.,,other
B01057,NEW AMERICAN C/L SVC,,other
B01061,DAT RADIO DISP INC,,other
B01065,EL BARRIO'S CAR SERVICE LLC,,other
B01066,DOMINICANA RAD DISP INC,,other
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,other
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,other
B01081,GEORGE TOWN MANAGEMENT INC,,other
