base_number,base_name,dba,dba_category
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,other
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,other
B02373,QUIET SERVICES INC,,other
B02376,ALL NATIONS LUXURY LIMO CORP.,,other
B02377,"ECONOMY CAR SERVICE, LLC",,other
B02378,WELLCARE CAR SERVICE INC.,KISSENA CAR SERVICE,other
B02379,THE OPTION TRANSPORTATION CORP.,,other
B02389,"EMBARQUE N.Y., INC.",,other
B02391,3RD AVENUE EXPRESS CORP,,other
B02395,ABATAR INC,UBER-ABATAR LLC,uber
B02397,CHICO EXPRESS CORP. 2,,other
B02398,NY PREMIER LIMOUSINE INC,,other
B02401,NEW NORTH SIDE LUXURY CORP.,MAGNA,other
B02404,WOODSIDE CAR & LIMO INC.,,other
B02405,POWER LUXURY RADIO DISPATCH INC.,,other
B02406,MY SEDAN LLC,,other
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,other
B02410,"POLO LIMOUSINE, CORP.",,other
B02416,"NEW STORM CAR SERVICE, INC.",,other
B02418,PLUSH SERVICES CORP,,other
B02420,V S EXPRESS LIMOUSINE AND CAR SERVICE INC.,,other
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,other
B02424,FRIENDLY RIDE INC,,other
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,other
B02427,LA RANCHERA EXPRESS CORP.,,other
B02429,SEAGULL CORPORATE TRANSPORTATION LLC,,other
B02432,VIAMAX SERVICE STATION & CAR SERVICE CORP,,other
B02435,"TEINETCO, INC",,other
B02436,FEDERAL TRANSIT NY INC.,,other
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,other
B02440,MLL LIMOUSINE SERVICES INC.,,other
B02447,"NEW HAMPTON CAR & LIMO, INC.",VIEW,other
B02450,JUPITER CAR SERVICE CORP.,,other
B02453,MCW CAR & LIMO INC.,,other
B02459,EXPLORER LUXURY CORP.,,other
B02460,CABOT LIMO NY CORP.,,other
B02461,NEW HEAVEN RADIO DISPATCH CORP,,other
B02462,TIFFANY'S CAR SERVICE INC.,,other
B02463,MORENITA EXPRESS CAR SERVICE INC.,,other
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,other
B02469,FUTURE LIMO VIP CORP,,other
B02470,CRI LIMO INC.,,other
B02471,TSU GLOBAL SERVICES INC,,other
B02472,NEW BUSHWICK LUXURY INC.,,other
B02476,ANYTIME FORSYTH TRANSPORT CORP,,other
B02480,WOODHAVEN LIMOSINE INC,,other
B02481,TEN I CON CORP.,,other
B02485,SANDRA CAR & LIMO SVC INC.,,other
B02488,GREAT EXPRESS CAR & LIMOUSINE SERVICE INC,,other
B02489,BLACK TIE TRANSPORTATION INC,,other
B02491,CALL THREES LLC,,other
B02496,MAHAICA EXPRESS SERVICE INC.,,other
B02499,RICKY LIMOUSINE SERVICES INC.,,other
B02501,"EAST HANOVER AUTO SALES, INC.",MY LIMOUSINE SERVICE,other
B02503,"CHARGE & RIDE LUXURY, INC.",,other
B02505,TRELAWNY CAR SERVICE INC,,other
B02508,"DISPATCH CENTRAL, INC.",,other
B02509,NY MINUTE CAR SERVICE INC.,,other
B02510,"TRI-CITY,LLC",LYFT-TRI-CITY,lyft
B02511,DEKALB CAR SERVICE CORP.,,other
B02512,UNTER LLC,UBER-UNTER LLC,uber
B02515,OLS LIMOUSINE SERVICE INC.,,other
B02517,LOS PAISANOS LUXURY C/S INC.,,other
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,other
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,other
B02524,ESQ LIMOUSINE LLC,ESQ LIMO,other
B02525,"HTP, INC.",,other
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,other
B02532,COZY RIDE LIMOUSINE INC,,other
B02533,"VITAL PLATINUM SERVICES, INC.",,other
B02534,DV LUXURY TRANSPORTATION CORPORATION,,other
B02535,LFS LIMO CORP.,,other
B02536,SEAGULL CORPORATE TRANSPORTATION LLC,,other
B02537,ALLTOWN LIMO CORP.,,other
B02538,MANIDA CAR SERVICE INC.,UNIVERSAL CAR SERVICE,other
B02539,HAWK CAR AND LIMO SERVICE,JRIDE,other
B02541,HIBA CAR & LIMO SVC INC.,,other
B02543,GTA CAR & LIMO SERVICE LLC,,other
B02546,X RADIO DISPATCHER INC.,,other
B02547,NICK CAR & LIMO SERVICE INC.,,other
B02550,AGAPE LUXURY CORP.,,other
B02551,CHIEF LIMO INC.,,other
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,other
B02553,"NEW JUBILEE CAR SERVICE, INC.",,other
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,,other
B02555,LTM GLOBAL CAR SERVICE,,other
B02556,DRIVEN GLOBAL INC.,,other
B02557,185 MALTA CAR SERVICE LLC,,other
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,other
B02564,LAGUARDIA LUXURY CAR & LIMO,,other
B02566,GSL LIMOUSINES CORP.,,other
B02569,GOGREENRIDE INC.,GO GREENRIDE,other
B02573,SUNSET PARK CAR SERVICE INC,,other
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,other
B02590,LUXOR LIMO INC,,other
B02594,FENIX MOBILE DISPATCHERS LTD,,other
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,other
B02598,HINTER LLC,UBER-HINTER LLC,uber
B02599,CMS LIMO INC.,,other
B02601,ROMERO AUTO SERVICE REPAIRS TRANSPORT TOWING RECOVERY LLC,RUNNER LIMO & CAR SERVICE,other
B02609,BERLINEZ INC,,other
B02610,WC TRANSPORTATION SERVICE GROUP INC.,,other
B02611,SS LIMOUSINE SERVICE INC,,other
B02612,GOLDEN LUXURY TRANSPORTATION INC.,,other
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,other
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,other
B02617,WEITER LLC,UBER-WEITER LLC,uber
B02621,ANTONIO'S NEW YORK CITY CAR SERVICE INC,,other
B02623,CARSCO INC.,,other
B02627,APL LIMO LLC,,other
B02629,CARLUX LIMO INC.,,other
B02630,LEVEL LIMO INC,,other
B02631,"CONFIDENTIAL HOLDINGS, LLC",STRICTLY CONFIDENTIAL SERVICE,other
B02633,USHLS CORP,,other
B02634,VETERANS RADIO DISPATCHER CORP.,,other
B02637,ROOSEVELT CAR & LIMO INC.,,other
B02638,EAGER LIMO SERVICE INC.,,other
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,other
B02644,CCK EXPRESS INC.,ALL SEASONS CAR SERVICE,other
B02646,"E CARS & LIMO SERVICE, INC.",,other
B02649,KIRIN TRANSPORTATION INC,,other
B02651,SAROS TRANSPORATION GROUP INC.,,other
B02652,PATRON CAR SERVICE INC.,,other
B02653,NEW COLLEGE CAR SVCE INC,,other
B02654,VZ TRAVEL CORP,,other
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,other
B02657,MALCOLM LIMO EXPRESS CORP.,,other
B02658,ASCONA CAR SERVICE INC.,,other
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,other
B02664,CORPORATE CAR LTD.,,other
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",LSW CHAUFFEURED TRANSPORTATION,other
B02667,LEON LUXURY LIMO INC,,other
B02669,TRUESTAR LIMO CORP.,,other
B02670,STRIDE LIMO INC,,other
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,other
B02672,MAZAL CAR SERVICE INC.,,other
B02673,CONCORDE LIMOUSINE INC,CC LIMOUSINE WORLDWIDE,other
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,other
B02675,FRIELECH CAR & LIMO SERVICE INC,15TH AVENUE CAR SERVICE,other
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,other
B02681,DIRECT CAR & LIMO SERVICE INC.,,other
B02682,SCHMECKEN LLC,UBER-SCHMECKEN LLC,uber
B02683,855 LIMO CAR INC.,,other
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,other
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,other
B02688,KJ TRANSPORTATION,,other
B02689,OCS LIMO CORP.,,other
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,other
B02695,SEE USA TOURS INC.,,other
B02699,PRESIDENTIAL LUXURY LIMO INC.,,other
B02702,NEW SAFARI CAR & LIMO INC.,,other
B02704,SPRINGFIELD CAR SERVICE INC,,other
B02705,GROUND JET EXECUTIVE TRANSPORTATION LLC,,other
B02707,"DIANE CAR SERVICE, INC",,other
B02709,DASH CAR SERVICE CORP,,other
B02710,PARADA CAR SERVICE,,other
B02711,204 CAR & LIMO INC,,other
B02712,AVE O CAR SERVICE INC,,other
B02713,"H.I.S. INTERNATIONAL TOURS (NY),INC.",,other
B02715,GROUNDANYWHERE LLC,,other
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",CLIQCAR,other
B02717,ZOOM CAR SERVICE INC.,,other
B02718,CHURCHILL EXECUTIVE CARS INC,,other
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,other
B02721,JOHN PETERS PROFESSIONAL LIMOUSINES INC,,other
B02722,ICON LUXURY SERVICE INC.,,other
B02723,CHARLIE BLACK CAR INC,,other
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,other
B02725,KIRIN TRANSPORTATION INC,,other
B02726,COMPADRE CAR SERVICE INC.,,other
B02727,OSCAR LIMOUSINE INC,,other
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,other
B02729,LOW TOUCH LUXURY INC.,,other
B02731,EMES OF BOROPARK CAR SERVICE INC,,other
B02732,KESHES INC,,other
B02735,"BEST DEAL CAR SERVICE 2,INC.",,other
B02736,TRINITY CAR SERVICE INC,,other
B02737,BWJ GROUP INC,,other
B02738,EXPLORER CAR SERVICE INC.,,other
B02739,PRATT LUXURY SERVICE INC.,,other
B02740,MAZAL LIMOUSINE SERVICE INC,,other
B02745,HOYT LIVERY INC,,other
B02747,LEGEND LUXURY LIMO INC.,,other
B02748,ALFRED HOLDINGS INC,ICARS,other
B02749,FACE LIMO INC,,other
B02751,RELIANCE GROUP INC,,other
B02753,DADDY LIMO INC,,other
B02754,TIGER CAR SERVICE INC.,,other
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,other
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,other
B02760,VISMAR RADIO DISPATCH INC.,,other
B02762,SHOWTIME TRANSPORTATION CORP.,,other
B02764,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",uber
B02765,GRUN LLC,UBER-GRUN LLC,uber
B02767,KISMET INTERNATIONAL INC.,,other
B02768,NEW ADAM EXPRESS CAR & LIMO CORP,,other
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,other
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,other
B02782,NEW APP CAR & LIMO INC,,other
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,other
B02784,SMILE TRANSPORTATION GROUP INC,,other
B02787,SEMPERIDE LLC,,other
B02790,SOUTH BEACH TRANSPORTATION INC.,,other
B02793,HISPANOS CAR SERVICE INC.,,other
B02794,ASAP LUXE INC,,other
B02795,LIMO SEVEN TRANSPORTATION INC,,other
B02797,CJ LIMOUSINE LLC,,other
B02798,"JC'S TRANSPORTATION NETWORK, INC.",,other
B02799,CHURCH AVENUE EXPRESS INC,,other
B02800,FLATIRON TRANSIT LLC,VIA-FLATIRON TRANSIT LLC,via
B02803,OUTSIDE'S CAR SERVICE INC.,,other
B02808,INVASORA EXPRESS CAR SERVICE CORP.,,other
B02809,NBT TRANSPORTATION INC,,other
B02810,HONDU MEX 5 LUXURY INC,,other
B02811,M.L TRIPS CORP.,,other
B02816,GLS TRANS INC,,other
B02817,ANYTIME FORSYTH TRANSPORT CORP,,other
B02819,FIVE STAR LUXURY,,other
B02821,E5 TRANSPORTATION SOLUTIONS INC.,,other
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,other
B02825,GUADALUPANA II CAR & LIMO INC,,other
B02826,NEW BELL LUXURY CORP,,other
B02829,MEXICO CAR & LIMO SVC. INC.,,other
B02832,NYC FLY WHEELS INC.,,other
B02833,ADVANCED LUXURY LIMO SVC. INC.,,other
B02834,811 TRANSIT CORP,,other
B02835,DREIST NY LLC,UBER-DREIST NY LLC,uber
B02836,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,uber
B02838,THA MAYA CAR SERVICE INC,,other
B02839,YERUSHALAYIM CAR&LIMO INC,,other
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,other
B02845,MIRAE CALLS INC,,other
B02846,DLS TRANSPORTATION CORP.,,other
B02848,V R WORLDWIDE INC,,other
B02849,BROOKLYN RIDES CORP,,other
B02850,IN'TEGRITE I.I.R. TRANSPORTATION SERVICES LLC,,other
B02851,GALLANT CAR SERVICE CORP.,,other
B02852,OP CAR SERVICE INC.,,other
B02855,JUNIORS LUXURY INC,,other
B02856,MARIACHI CAR SERVICE INC,,other
B02858,SHOWTIME 2 LTD.,,other
B02864,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",uber
B02865,"VIER-NY,LLC",UBER-VIER-NY LLC,uber
B02866,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,uber
B02867,"FUNF-NY, LLC",UBER-FUNF-NY LLC,uber
B02869,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,uber
B02870,"NEUN-NY,LLC",UBER-NEUN-NY LLC,uber
B02871,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",uber
B02872,"EINS-NY,LLC","UBER-EINS-NY,LLC",uber
B02874,"CAPSTAR CHAUFFEURS,INC.",,other
B02875,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",uber
B02876,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",uber
B02877,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",uber
B02878,"ELF-NY,LLC","UBER-ELF-NY,LLC",uber
B02879,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",uber
B02880,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",uber
B02881,DIANE CAR SERVICE INC.,,other
B02882,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",uber
B02883,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",uber
B02884,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",uber
B02886,PRINCE LUXURY CORP.,,other
B02887,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",uber
B02888,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",uber
B02889,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",uber
B02891,"GLIDE LUXURY TRANSPORTATION, INC",,other
B02892,SEAMAN EXPRESS CORP.,,other
B02893,DORADO EXPRESS INC.,,other
B02894,844 LIMO CAR INC.,LIMO CAR,other
B02897,FC LIMOUSINE INC,,other
B02898,SANO CAR LLC,,other
B02899,NEW BLACK LUXURY CARS CORP,,other
B02901,GALLANT LUXURY SERVICE CORP.,,other
B02903,JFK LUXURY LIMOUSINE INC,,other
B02904,POBLANITA EXPRESS INC,,other
B02905,PUEBLA LUXURY CORP,,other
B02906,"NEXIA TRANSPORTATION, LLC",,other
B02907,SABO ONE LLC,GETT,gett
B02908,SABO TWO LLC,GETT,gett
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,other
B02912,FIRST CLASS LUXURY INC,,other
B02913,DAT TRANSPORTATION INC.,,other
B02914,VULCAN CARS LLC,JUNO,juno
B02917,C & A BLACK CAR CORP.,,other
B02920,AMAZING CAR AND LIMO SERVICE INC,,other
B02921,"GRAVITAS PRIMO,LLC",,other
B02922,"HY'S LIVERY SERVICE,INC.",,other
B02924,CELEBRITY LUXURY INC.,,other
B02925,SIGNATURE BLACK CAR LLC,,other
B02927,TOP RIDE,,other
B02929,ASHLEY BLACK CAR SERVICE LLC,,other
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,other
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,other
B02936,UNICE CAR SERVICE CORP,,other
B02939,GREAT EXPRESS CAR & LIMOUSINE SERVICE INC,,other
B02943,MEDTRANS BLACK CAR SERVICE CORPORATION,,other
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,other
B02956,W.K.EXPRESS LIMO SERVICE INC,,other
B02963,GULF LUXURY INC,,other
B02967,ABIEL TRANSPORTATION CORP,,other
B02970,FLYTE LINE TRANSPORTATION LLC,,other
B02975,LI YANG LIMOUSINE INC,,other
B02979,ADVANTAGE LIMO OF NY INC.,,other
B02980,ADVANTAGE LIMO OF NY INC,,other
B02985,SHOWTIME 3 CORP,,other
