location_id,borough,zone,service_zone,ntacode
116,Manhattan,Hamilton Heights,Boro Zone,MN04
117,Queens,Hammels/Arverne,Boro Zone,QN12
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,SI24
119,Bronx,Highbridge,Boro Zone,BX26
120,Manhattan,Highbridge Park,Boro Zone,MN36
121,Queens,Hillcrest/Pomonok,Boro Zone,QN38
122,Queens,Hollis,Boro Zone,QN07
123,Brooklyn,Homecrest,Boro Zone,BK25
124,Queens,Howard Beach,Boro Zone,QN57
125,Manhattan,Hudson Sq,Yellow Zone,MN24
126,Bronx,Hunts Point,Boro Zone,BX27
127,Manhattan,Inwood,Boro Zone,MN01
128,Manhattan,Inwood Hill Park,Boro Zone,MN01
129,Queens,Jackson Heights,Boro Zone,QN28
130,Queens,Jamaica,Boro Zone,QN61
131,Queens,Jamaica Estates,Boro Zone,QN06
132,Queens,JFK Airport,Airports,QN98
133,Brooklyn,Kensington,Boro Zone,BK41
134,Queens,Kew Gardens,Boro Zone,QN60
135,Queens,Kew Gardens Hills,Boro Zone,QN37
136,Bronx,Kingsbridge Heights,Boro Zone,BX30
137,Manhattan,Kips Bay,Yellow Zone,MN20
138,Queens,LaGuardia Airport,Airports,QN98
139,Queens,Laurelton,Boro Zone,QN66
140,Manhattan,Lenox Hill East,Yellow Zone,MN31
141,Manhattan,Lenox Hill West,Yellow Zone,MN31
142,Manhattan,Lincoln Square East,Yellow Zone,MN14
143,Manhattan,Lincoln Square West,Yellow Zone,MN14
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,MN24
145,Queens,Long Island City/Hunters Point,Boro Zone,QN68
146,Queens,Long Island City/Queens Plaza,Boro Zone,QN68
147,Bronx,Longwood,Boro Zone,BX33
148,Manhattan,Lower East Side,Yellow Zone,MN28
149,Brooklyn,Madison,Boro Zone,BK44
150,Brooklyn,Manhattan Beach,Boro Zone,BK17
151,Manhattan,Manhattan Valley,Yellow Zone,MN12
152,Manhattan,Manhattanville,Boro Zone,MN06
153,Manhattan,Marble Hill,Boro Zone,MN01
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,BK45
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,BK45
156,Staten Island,Mariners Harbor,Boro Zone,SI12
157,Queens,Maspeth,Boro Zone,QN30
158,Manhattan,Meatpacking/West Village West,Yellow Zone,MN23
159,Bronx,Melrose South,Boro Zone,BX34
160,Queens,Middle Village,Boro Zone,QN21
161,Manhattan,Midtown Center,Yellow Zone,MN17
162,Manhattan,Midtown East,Yellow Zone,MN17
163,Manhattan,Midtown North,Yellow Zone,MN17
164,Manhattan,Midtown South,Yellow Zone,MN17
165,Brooklyn,Midwood,Boro Zone,BK43
166,Manhattan,Morningside Heights,Boro Zone,MN09
167,Bronx,Morrisania/Melrose,Boro Zone,BX35
168,Bronx,Mott Haven/Port Morris,Boro Zone,BX39
169,Bronx,Mount Hope,Boro Zone,BX41
170,Manhattan,Murray Hill,Yellow Zone,MN20
171,Queens,Murray Hill-Queens,Boro Zone,QN51
172,Staten Island,New Dorp/Midland Beach,Boro Zone,SI45
173,Queens,North Corona,Boro Zone,QN26
174,Bronx,Norwood,Boro Zone,BX43
175,Queens,Oakland Gardens,Boro Zone,QN42
176,Staten Island,Oakwood,Boro Zone,SI25
177,Brooklyn,Ocean Hill,Boro Zone,BK79
178,Brooklyn,Ocean Parkway South,Boro Zone,BK46
179,Queens,Old Astoria,Boro Zone,QN71
180,Queens,Ozone Park,Boro Zone,QN56
181,Brooklyn,Park Slope,Boro Zone,BK37
182,Bronx,Parkchester,Boro Zone,BX46
183,Bronx,Pelham Bay,Boro Zone,BX10
184,Bronx,Pelham Bay Park,Boro Zone,BX10
185,Bronx,Pelham Parkway,Boro Zone,BX49
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,MN17
187,Staten Island,Port Richmond,Boro Zone,SI28
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,BK60
189,Brooklyn,Prospect Heights,Boro Zone,BK64
190,Brooklyn,Prospect Park,Boro Zone,BK99
191,Queens,Queens Village,Boro Zone,QN34
192,Queens,Queensboro Hill,Boro Zone,QN62
193,Queens,Queensbridge/Ravenswood,Boro Zone,QN68
194,Manhattan,Randalls Island,Yellow Zone,MN99
195,Brooklyn,Red Hook,Boro Zone,BK33
196,Queens,Rego Park,Boro Zone,QN18
197,Queens,Richmond Hill,Boro Zone,QN54
198,Queens,Ridgewood,Boro Zone,QN20
199,Bronx,Rikers Island,Boro Zone,BX98
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,BX22
201,Queens,Rockaway Park,Boro Zone,QN10
202,Manhattan,Roosevelt Island,Boro Zone,MN31
203,Queens,Rosedale,Boro Zone,QN05
204,Staten Island,Rossville/Woodrow,Boro Zone,SI32
205,Queens,Saint Albans,Boro Zone,QN08
206,Staten Island,Saint George/New Brighton,Boro Zone,SI35
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,QN63
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,BX52
209,Manhattan,Seaport,Yellow Zone,MN25
210,Brooklyn,Sheepshead Bay,Boro Zone,BK17
211,Manhattan,SoHo,Yellow Zone,MN24
212,Bronx,Soundview/Bruckner,Boro Zone,BX55
213,Bronx,Soundview/Castle Hill,Boro Zone,BX09
214,Staten Island,South Beach/Dongan Hills,Boro Zone,SI36
215,Queens,South Jamaica,Boro Zone,QN01
216,Queens,South Ozone Park,Boro Zone,QN55
217,Brooklyn,South Williamsburg,Boro Zone,BK72
218,Queens,Springfield Gardens North,Boro Zone,QN02
219,Queens,Springfield Gardens South,Boro Zone,QN03
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,BX29
